,id,address,date,cause,longitude,latitude,done
1062,3101010200803261,南京东路800号,2008-03-09 16:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.4709791583231,31.237015989709622,1
1147,3101010200804200,南京东路333号,2008-03-28 10:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47121561302356,31.236337065246836,1
1608,3101010200808651,中山东一路、南京东路,2008-07-03 08:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
1648,3101010200809089,中山东一路近南京东路,2008-07-12 23:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
1766,3101010200810148,广西北路近南京东路口,2008-08-03 17:40:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
1816,3101010200810565,南京东路近沙市二路,2008-08-09 22:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2004,3101010200812618,四川中路近南京东路,2008-09-19 10:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2132,3101010200813960,中山东一路近南京东路,2008-10-17 20:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
2207,3101010200814577,南京东路、四川中路,2008-10-26 15:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2286,3101010200815443,河南中路近南京东路,2008-11-15 22:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2308,3101010200815636,南京东路61号,2008-11-20 14:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48412478471208,31.240492890479565,1
2309,3101010200815640,南京东路61号,2008-11-20 10:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48412478471208,31.240492890479565,1
2362,3101010200816135,福建中路南京东路00米,2008-11-29 14:47:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2383,3101010200816398,河南中路南段出南京东路00米,2008-11-08 12:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2427,3101010200816883,南京东路六合路00米,2008-12-12 21:41:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2614,3101010200900709,南京东路西藏中路00米,2009-01-02 15:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.46937664095243,31.238721032338066,1
2660,3101010200901113,南京东路中山东一路00米,2009-01-10 17:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
2684,3101010200901365,南京东路江西中路00米,2009-01-17 13:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48215950922507,31.239767451026275,1
2742,3101010200901899,南京东路福建中路00米,2009-01-22 11:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47618924646018,31.237171522938805,1
2772,3101010200902171,中山东一路南京东路00米,2009-02-10 07:25:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
2888,3101010200903383,山东中路南京东路00米,2009-03-11 14:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2895,3101010200903498,南京东路福建中路00米,2009-03-14 00:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47618924646018,31.237171522938805,1
2923,3101010200903797,南京东路中山东一路00米,2009-03-20 14:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
2948,3101010200904031,中山东一路出南京东路020米,2009-03-13 12:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
2965,3101010200904185,南京东路河南中路00米,2009-03-29 22:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48117670822857,31.23732484158225,1
2967,3101010200904205,四川中路南京东路00米,2009-03-27 18:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
2969,3101010200904211,中山东一路南京东路00米,2009-03-24 11:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3095,3101010200905711,南京东路江西中路00米,2009-04-28 11:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48215950922507,31.239767451026275,1
3134,3101010200906240,南京东路江西中路00米,2009-05-06 10:40:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48215950922507,31.239767451026275,1
3308,3101010200907995,南京东路中山东一路00米,2009-06-14 16:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3347,3101010200908439,中山东一路南京东路00米,2009-06-23 09:32:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3430,3101010200909413,福建中路南京东路00米,2009-07-09 13:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
3437,3101010200909459,中山东一路南京东路00米,2009-07-14 23:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3474,3101010200909782,南京东路河南中路00米,2009-07-03 09:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48117670822857,31.23732484158225,1
3528,3101010200910399,南京东路山东中路00米,2009-07-30 11:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48001234775163,31.236372917670767,1
3542,3101010200910559,南京东路四川中路00米,2009-08-03 09:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
3646,3101010200911557,中山东一路南京东路00米,2009-08-23 21:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3663,3101010200911758,南京东路中山东一路00米,2009-08-27 08:46:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3719,3101010200912331,南京东路贵州路00米,2009-09-08 05:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
3726,3101010200912380,江西中路南京东路00米,2009-09-04 15:05:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
3739,3101010200912504,中山东一路南京东路00米,2009-09-10 12:25:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3868,3101010200913892,中山东一路南京东路00米,2009-07-05 22:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
3890,3101010200914091,南京东路河南中路00米(绿地中心),2009-10-15 18:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.43075858031762,31.222464227291248,1
3926,3101010200914422,南京东路福建中路00米,2009-04-27 11:40:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.47618924646018,31.237171522938805,1
4103,3101010200916198,南京东路福建中路00米,2009-11-19 19:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47618924646018,31.237171522938805,1
4155,3101010200916718,南京东路中山东一路00米,2009-12-04 08:35:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4169,3101010200916895,中山东一路南京东路00米,2009-12-07 11:25:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4239,3101010200917543,中山东一路南京东路00米,2009-12-16 23:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4261,3101010200917754,中山东一路南京东路00米,2009-02-16 16:31:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4369,3101010201000774,南京东路中山东一路00米,2010-01-16 02:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4392,3101010201000955,浙江中路南京东路00米,2010-01-21 20:07:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
4432,3101010201001435,南京东路中山东一路00米(理赔中心),2010-02-02 17:05:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4467,3101010201001790,中山东一路南京东路00米,2010-02-16 15:21:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4537,3101010201002478,中山东一路南京东路00米,2010-03-08 10:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4546,3101010201002569,南京东路中山东一路00米,2010-03-12 18:49:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4706,3101010201004194,南京东路广西北路00米,2010-05-03 21:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47303908612403,31.23590209354829,1
4791,3101010201005082,中山东一路南京东路00米,2010-05-28 13:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4849,3101010201005530,中山东一路南京东路00米,2010-06-08 11:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
4870,3101010201005750,南京东路西藏中路00米(新世界停车场),2010-06-15 14:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.46895152400458,31.23748199951854,1
4874,3101010201005783,南京东路出广西北路010米,2010-06-22 13:55:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47278307935849,31.236944096245146,1
4922,3101010201006346,六合路南京东路00米,2010-07-08 08:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
4991,3101010201006971,南京东路四川中路00米,2010-07-22 09:15:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.47915913391535,31.239069200609805,1
5026,3101010201007339,南京东路中山东一路00米,2010-08-09 21:40:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.48581289794502,31.23900747487284,1
5032,3101010201007403,南京东路河南中路00米,2010-08-12 12:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48117670822857,31.23732484158225,1
5058,3101010201007661,中山东一路南京东路00米,2010-08-08 05:55:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
5064,3101010201007689,六合路南京东路00米,2010-08-13 18:34:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5122,3101010201008342,四川中路南京东路00米,2010-08-25 11:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5188,3101010201009052,南京东路贵州路00米,2010-07-06 09:55:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5221,3101010201009379,南京东路西藏中路00米,2010-10-03 20:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.46937664095243,31.238721032338066,1
5233,3101010201009520,南京东路贵州路00米,2010-07-06 09:56:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5262,3101010201009783,浙江中路南京东路00米,2010-10-20 08:10:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.47915913391535,31.239069200609805,1
5271,3101010201009941,中山东一路南京东路00米,2010-10-17 06:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
5417,3101010201011263,南京东路浙江中路00米,2010-11-30 16:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47423270701847,31.236566093075147,1
5439,3101010201011471,中山东一路南京东路00米,2010-12-08 12:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
5447,3101010201011548,山西南路南京东路00米,2010-12-04 15:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5490,3101010201011952,江西中路南京东路00米,2010-12-17 10:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5546,3101010201100339,福建中路南京东路00米,2011-01-01 15:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5682,3101010201101422,南京东路中山东一路00米,2011-02-11 11:30:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.48581289794502,31.23900747487284,1
5702,3101010201101689,中山东一路南京东路00米,2011-02-19 03:03:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
5887,3101010201103997,南京东路四川中路00米,2011-04-25 20:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5907,3101010201104080,浙江中路南京东路00米,2011-05-10 14:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
5974,3101010201104928,南京东路江西中路00米,2011-06-07 10:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48215950922507,31.239767451026275,1
6042,3101010201105621,南京东路中山东一路00米,2011-06-27 09:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
6072,3101010201106004,中山东一路出南京东路030米,2011-07-15 04:46:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
6153,3101010201106904,福建中路南京东路00米,2011-08-08 09:16:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
6453,3101010201109771,江西中路南京东路00米,2011-11-04 11:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
6499,3101010201110241,南京东路河南中路00米,2011-11-18 12:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48117670822857,31.23732484158225,1
6577,3101010201110986,南京东路中山东一路00米,2011-12-08 10:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
6698,3101010201200378,浙江中路南京东路00米,2012-01-05 07:40:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
6746,3101010201200749,南京东路江西中路00米,2012-01-14 11:52:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48215950922507,31.239767451026275,1
6853,3101010201201703,南京东路中山东一路东约50米,2012-02-18 11:54:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
6956,3101010201202666,南京东路河南中路东约0米,2012-03-21 13:12:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47096507195369,31.23785332961822,1
6975,3101010201202973,南京东路广西北路东约0米,2012-04-01 11:20:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47096507195369,31.23785332961822,1
6980,3101010201202991,六合路南京东路南约30米,2012-04-03 10:15:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
7056,3101010201203624,南京东路中山东一路东约0米,2012-04-24 15:38:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
7143,3101010201204663,南京东路进江西中路西约1米,2012-05-14 07:30:00.0,瀚博分中心,121.47915913391535,31.239069200609805,1
7247,3101010201205745,中山东一路南京东路西约10米,2012-06-15 17:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48581289794502,31.23900747487284,1
7394,3101010201207423,南京东路中山东一路东约70米,2012-07-25 16:15:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
7570,3101010201209161,福建中路出南京东路南约0米,2012-08-21 10:35:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
7696,3101010201210342,南京东路中山东一路东约00米,2012-08-16 10:30:00.0,南空分中心,121.47694711211875,31.248560448882866,1
7726,3101010201210545,四川中路进南京东路北约30米,2012-09-13 13:40:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47915913391535,31.239069200609805,1
7742,3101010201210707,南京东路浙江中路北约0米,2012-09-16 09:07:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47423270701847,31.236566093075147,1
7856,3101010201211819,南京东路六合路东约50米,2012-10-06 10:50:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
7927,3101010201212502,南京东路江西中路西约0米,2012-10-18 06:32:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48215950922507,31.239767451026275,1
7959,3101010201212954,河南中路南京东路东约0米,2012-09-30 09:30:00.0,绿地分中心,121.47096507195369,31.23785332961822,1
8180,3101010201215253,南京东路河南中路南约2米,2012-11-21 16:30:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48117670822857,31.23732484158225,1
8274,3101010201216361,南京东路山西南路北约50米,2012-12-12 14:45:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47783499377566,31.238914451612178,1
8365,3101010201217350,西藏中路南京东路北约00米,2012-12-12 16:25:00.0,南空分中心,121.47915913391535,31.239069200609805,1
8423,3101010201217928,南京东路湖北路东约3米,2012-12-24 18:30:00.0,众国分中心,121.47096507195369,31.23785332961822,1
8562,3101010201300185,南京东路进四川中路西约0米,2013-01-06 17:50:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47915913391535,31.239069200609805,1
8627,3101010201300725,南京东路江西中路东约0米,2013-01-17 17:40:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47096507195369,31.23785332961822,1
8691,3101010201301348,南京东路广西北路西约0米,2013-01-27 23:20:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47303908612403,31.23590209354829,1
8834,3101010201302758,浙江中路南京东路西约0米,2013-02-25 11:20:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
8934,3101010201303779,南京东路浙江中路南约0米,2013-03-12 20:00:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47423270701847,31.236566093075147,1
9188,3101010201306363,中山东一路南京东路西约0米,2013-04-22 14:42:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.48581289794502,31.23900747487284,1
9314,3101010201307667,南京东路六合路东约50米,2013-05-13 18:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
9475,3101010201309259,南京东路浙江中路北约0米,2013-06-05 11:40:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47423270701847,31.236566093075147,1
9958,3101010201314052,南京东路中山东一路西约50米,2013-09-09 16:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48581289794502,31.23900747487284,1
10061,3101010201315090,福建中路南京东路北约0米,2013-09-24 11:05:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
10324,3101010201317468,南京东路出沙市一路西约35米,2013-11-01 16:10:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
10405,3101010201318284,六合路南京东路北约00米,2013-02-02 12:00:00.0,南空分中心,121.47915913391535,31.239069200609805,1
10535,3101010201319609,南京东路四川中路东约100米,2013-12-03 23:50:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
10785,3101010201400067,南京东路金华路东约0米,2014-01-02 19:15:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47096507195369,31.23785332961822,1
10794,3101010201400125,南京东路中山东一路西约10米,2014-01-03 10:50:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48581289794502,31.23900747487284,1
10846,3101010201400716,南京东路浙江中路南约0米,2014-01-14 21:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47423270701847,31.236566093075147,1
10896,3101010201401145,南京东路福建中路北约1米,2014-01-13 16:00:00.0,瀚博分中心,121.47618924646018,31.237171522938805,1
10943,3101010201401665,中山东一路南京东路北约50米,2014-01-30 23:40:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48581289794502,31.23900747487284,1
10946,3101010201401690,南京东路四川中路东约40米,2014-02-02 23:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
11122,3101010201403411,四川中路南京东路北约0米,2014-03-06 11:20:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47915913391535,31.239069200609805,1
11191,3101010201404154,南京东路江西中路东约200米,2014-02-25 09:00:00.0,上汽交运分中心,121.47096507195369,31.23785332961822,1
11217,3101010201404433,中山东一路南京东路东约0米,2014-03-22 13:54:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
11327,3101010201405531,南京东路河南中路北约20米,2014-03-19 13:00:00.0,上汽交运分中心,121.48117670822857,31.23732484158225,1
11389,3101010201406231,南京东路江西中路西约0米,2014-04-22 19:30:00.0,上海市公安局黄浦分局交通警察支队一中队,121.48215950922507,31.239767451026275,1
11437,3101010201406709,四川中路南京东路东约0米,2014-04-29 14:00:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47096507195369,31.23785332961822,1
11679,3101010201409588,南京东路中山东一路东约100米,2014-06-14 09:40:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
11701,3101010201409756,南京东路四川中路西约20米,2014-05-29 08:00:00.0,上汽交运分中心,121.47915913391535,31.239069200609805,1
11923,3101010201412017,南京东路福建中路东约10米,2014-07-15 09:35:00.0,绿地分中心,121.47096507195369,31.23785332961822,1
11959,3101010201412457,南京东路四川中路南约0米,2014-07-30 14:15:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
12025,3101010201413192,南京东路四川中路东约1米,2014-08-03 18:00:00.0,瀚博分中心,121.47096507195369,31.23785332961822,1
12035,3101010201413157,四川中路南京东路南约0米,2014-08-10 14:45:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47915913391535,31.239069200609805,1
12257,3101010201415437,南京东路四川中路东约0米,2014-09-17 12:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
12284,3101010201415711,南京东路中山东一路西约100米,2014-09-22 13:30:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.48581289794502,31.23900747487284,1
12295,3101010201415856,南京东路西藏中路东约10米,2014-08-24 13:45:00.0,利港分中心,121.47096507195369,31.23785332961822,1
12341,3101010201416452,福建中路南京东路南约20米,2014-09-24 11:00:00.0,上汽交运分中心,121.47915913391535,31.239069200609805,1
12402,3101010201417214,南京东路河南中路东约10米,2014-10-09 08:30:00.0,绿地分中心,121.47096507195369,31.23785332961822,1
12607,3101010201419411,南京东路出四川中路东约0米,2014-11-18 08:30:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47096507195369,31.23785332961822,1
12674,3101010201420200,浙江中路进南京东路北约80米,2014-11-28 11:45:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
12735,3101010201420843,南京东路四川中路东约200米,2014-12-09 14:00:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47096507195369,31.23785332961822,1
12800,3101010201421579,南京东路出江西中路西约50米,2014-12-20 20:45:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
12817,3101010201421632,南京东路浙江中路南约0米,2014-12-21 18:42:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47423270701847,31.236566093075147,1
12894,3101010201422413,中山东一路南京东路东约0米,2014-12-30 19:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47694711211875,31.248560448882866,1
12957,3101010201500172,南京东路中山东一路东约0米,2015-01-05 08:45:00.0,上海市公安局黄浦分局交通警察支队隧桥责任区,121.47694711211875,31.248560448882866,1
13226,3101010201502750,南京东路浙江中路东约0米,2015-02-28 02:30:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47096507195369,31.23785332961822,1
13241,3101010201502826,中山东一路南京东路北约1米,2015-01-27 16:30:00.0,瀚博分中心,121.48581289794502,31.23900747487284,1
13262,3101010201503043,浙江中路南京东路北约0米,2015-03-03 14:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
13329,3101010201503687,南京东路四川中路南约0米,2015-03-16 10:25:00.0,上海市公安局黄浦分局交通警察支队第一责任区,121.47915913391535,31.239069200609805,1
13460,3101010201504942,浙江中路南京东路北约0米,2015-04-06 16:25:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47915913391535,31.239069200609805,1
13725,3101010201507534,河南中路南京东路东约0米,2015-05-17 20:25:00.0,上海市公安局黄浦分局交通警察支队一中队,121.47096507195369,31.23785332961822,1
